96662471,Pruitt  Terry and Stewart,42589955
33874402,Morales-Soto,69449386
37990301,Brown  Wood and Torres,85859871
35822058,Berry-Kent,93434215
36532989,Velasquez  Davis and Collins,43313920
78140073,David-Hicks,80337792
30973917,Chang Ltd,64949740
27002837,Carter-Crosby,28707512
56931045,Jones  Simpson and Thompson,63416984
49771391,Kelly  Wright and Owens,88509415
16372641,Hamilton-Stuart,37291130
30878154,Massey Group,35823183
47105108,Stafford Inc,64033999
69676566,Miller-Mendez,68321417
26193989,Smith  Snyder and Johnson,83211764
97999376,Poole-Hernandez,20328835
50332211,Rivera-Cervantes,87681380
85955883,Page-Bowman,17178825
36582721,Watson-Parker,57839566
30288443,Collins  Davis and Mooney,63253423
12636574,White  Contreras and Cantu,51026334
21075779,Roberson  Scott and Lane,51817404
81242264,Welch  Gibbs and Tucker,31879632
29574995,Haynes Inc,44058078
49920741,Rivera  Bender and Taylor,88595292
70247171,Buck-Moore,17645900
34514128,Flowers  Walsh and Anderson,31129936
15590388,Page Inc,19485728
32660518,Johns-Lawson,67636538
26791627,Gilbert  Crosby and Roberts,72944421
12467298,Jones  Rodriguez and Wood,72475543
63177064,Leach-Moore,71621455
95837962,Reed-Mcguire,49317714
73796049,Valenzuela  Compton and Moon,88406534
70776721,Williams  Nielsen and Rodriguez,13293317
41077329,Gibbs Inc,72312393
92388456,Edwards  Moran and Richardson,57225301
89655929,Chen-Walters,14949344
28917945,Kirk Ltd,59672743
93234005,Cooper-Bradley,35554149
39350315,Gonzalez  Curtis and Gilbert,24137398
85700159,Bradley-Bishop,50440727
68827782,Villegas-Garcia,54152902
77778770,Campbell  Perez and Holland,49716121
38419203,Huff  Spencer and Quinn,41021462
94521648,Bentley-Mcintyre,44927558
58549829,Hubbard-Austin,48344856
51353307,Perez  Oliver and Nguyen,51586006
26259730,Burch  Russell and Williams,69715505
32031205,Perez  Hernandez and Mullins,85892483
87708270,Mitchell  Russell and Ramirez,50630326
48400607,Lee  Mayo and Kennedy,93871741
89926025,Cox Ltd,67709469
45153116,Rodriguez  Scott and Gray,16438047
36822184,Hernandez  Miranda and Clements,81222703
36841348,Golden-Wheeler,42834978
69898543,Herrera  Booker and Boyer,43573499
24749321,Burton  Martinez and Powell,34009910
19926181,Olson-Rivera,57898662
31037067,Morales  Davenport and Morales,18113061
12628836,Michael-Knapp,61731973
65414958,Russell  Garcia and Wilson,99304865
85409061,Washington  Fuller and Jones,26724320
83091199,Maldonado-Hammond,53555168
63002308,Boyer-Sullivan,23190004
26908140,Mclean  Weber and Williams,97622169
99171973,Anderson-Marshall,58834458
43080463,Ball-Smith,97669079
64617825,Woodard  Washington and Goodman,21909972
26396872,Reeves  Watkins and Ross,97263976
85768887,Gonzales-Brown,53113756
35994196,Hunter-Garcia,14187546
67841244,Mendez-Davis,79355727
69910161,Johnson-Roy,68348794
77609387,Foster-Lee,57877800
39627401,Silva-Franco,84930187
52608613,Young  Garcia and Schultz,80780023
35360171,Pierce-Horton,94336976
42203452,Russell-Glass,77829753
13407466,Larsen PLC,75148638
65777068,Mann  Harrison and Blair,20630487
97748848,Wagner  Taylor and Schroeder,61652970
24059287,Davis  Chen and Frazier,21205776
87783748,Willis-Donovan,18918189
76542564,Martinez  Farley and Newton,42907459
42866818,Anderson-Oconnor,48337343
49944245,Maldonado LLC,94970915
12222974,Moses LLC,76081111
49427925,Hernandez  Jimenez and Erickson,40093974
21093723,Thomas-Cline,76749190
41404906,Murray  Green and Li,38764084
53075201,Morrison  Schultz and Greene,22654027
84425901,Hardy-Harris,42650421
43424193,Johnson-Ingram,74889491
61372822,Vazquez  Schneider and Johnston,25975192
70375853,Johns  Nunez and Ray,65454216
98652909,Olsen-Morgan,81889194
75272487,Zimmerman-Colon,59355074
93936887,Rodriguez-Woods,73961687
52430239,Villanueva  Rodgers and Greene,22067480
65355058,Briggs  Cantu and Potter,63453371
27421130,Lee-Weber,37017157
30615118,Miranda Ltd,99317616
95131595,Harrington-Ingram,59312310
72160015,Stewart  Lee and Mendez,11247957
85761858,Dickson  Jackson and Cervantes,95406979
56901615,Davidson-Ayala,98638778
22045147,Brown-Mclaughlin,54726045
69452604,Ferguson-Roberts,87649356
79382502,Arnold  Brown and Ortiz,11024200
53315565,Villarreal  Jones and Perez,56278500
58689570,Murphy  Hicks and Nunez,48043461
65529169,Shannon-Gomez,50208784
53966451,Howe  Edwards and Johnson,36370161
64207592,Woods-Nicholson,96842329
71102187,Conrad  Jones and Hayes,81597783
98145954,Mcmahon-Lawson,10210296
72343069,Jefferson  Jordan and White,72712977
91124173,Bryant-Moody,93490722
49029369,Peters Group,57903982
33653310,Moss-Smith,95705725
62740833,Pace  Garcia and Hicks,58443351
68701048,Robinson-Mcgrath,72910541
13468072,Murphy-Perez,50322853
54453054,Gill-Klein,18201850
47688362,Warner-Mitchell,57822735
36198079,Baker  Herman and Rivers,51834819
87453475,Mahoney  Brown and Johnson,80384833
32709827,Yates Inc,37525283
69672406,Nguyen  Fields and Carr,44604941
84717742,Craig  Brock and Brown,39253549
70188482,Brown  Contreras and Vega,75529475
72629359,Moore-Turner,60557447
16688097,Johnson  Taylor and Miles,21948246
48040224,Farmer-Herman,58991806
86617898,Baird Inc,67173637
25934875,Mitchell  Escobar and Romero,78560761
39682215,Adams-Lee,71284643
26577934,Chavez-Gill,38330948
10675177,Cohen-George,56772436
72187496,Osborne  Ramirez and Johnson,13886020
25191102,Long-Roberson,83455374
51284315,Fernandez LLC,20321616
98504118,Dunlap  Elliott and Wright,91379115
63711811,Martinez-Wagner,55966276
96719950,Silva  Torres and Martin,42418350
15030373,Zavala-Guzman,83570804
17198063,Lopez-Rodgers,90221002
89440559,Hernandez  Moore and Phillips,41256814
46258840,Harper  Hall and Hubbard,77044708
33609247,Russell  Burgess and Cook,71915459
35412214,Simpson  Valdez and Murphy,19331279
19255146,Mendoza  Horton and Miller,14272957
98489194,Harris-Beltran,36659749
35930640,Huber-Farmer,76184724
40428904,Patrick-Williams,37423811
